zone,potential,org_hour,dst_hour,z
533902685,-1.1015606125580248,6,7,-0.14383755993976904
533902885,-0.6378193111556456,6,7,-0.08328399940340081
533903665,-0.7486745576039731,6,7,-0.09775905231821194
533903685,-0.8178704203075391,6,7,-0.10679438268110102
533903805,-1.2340286452855764,6,7,-0.16113472759476163
533903825,-0.9359016218691742,6,7,-0.12220644429245459
533903845,-0.9308423225223592,6,7,-0.12154582038782817
533903865,-0.1624008775953918,6,7,-0.021205683735508296
533903885,-1.7056756989184763,6,7,-0.22272059093622545
533904605,-1.6467933931859378,6,7,-0.2150319652867225
533904645,-1.5170275921621865,6,7,-0.19808764468366283
533904665,-2.362088460159626,6,7,-0.30843245173978134
533904685,-1.2967091743068906,6,7,-0.1693193106738746
533904805,-4.12704446697478,6,7,-0.5388936379216336
533904825,0.35564522037942936,6,7,0.04643878886049399
533904845,-1.8439009784929006,6,7,-0.24076951780354325
533904865,-0.4957512915631135,6,7,-0.06473330228269315
533904885,-4.636256363122932,6,7,-0.6053845743251854
533905805,0.9141784751871924,6,7,0.11936991911414956
533907645,-0.3986956003145359,6,7,-0.052060142360022404
533907825,-0.18795653622930075,6,7,-0.024542643625549327
533907845,-1.418384006256428,6,7,-0.18520714356675683
533907865,0.2875815264149395,6,7,0.037551292749313174
533912065,-0.49447545825963246,6,7,-0.06456670886316587
533912265,-0.8219455110968177,6,7,-0.10732649240704856
533912285,-0.9215425161104207,6,7,-0.12033148733438034
533912465,-1.441426172431001,6,7,-0.18821590125152987
533912485,-1.0487181122983529,6,7,-0.1369375889242681
533912665,-1.2542836699886912,6,7,-0.16377955103579794
533912685,-1.1428193694767295,6,7,-0.14922497017728054
533912865,-0.8989577150049293,6,7,-0.11738245062618216
533912885,-0.8014008961781158,6,7,-0.10464385538633483
533913005,-0.9376425877732046,6,7,-0.12243377294302475
533913025,-0.6955305436549146,6,7,-0.0908197108015553
533913045,-0.5642206570503454,6,7,-0.07367376942542962
533913065,-1.5288632424411688,6,7,-0.19963309850347213
533913085,-1.7766974817154697,6,7,-0.23199434294190885
533913205,-1.0515933938444348,6,7,-0.137313032160903
533913225,-1.3113315273782291,6,7,-0.17122864145638594
533913245,-0.45582000292525393,6,7,-0.05951922776201597
533913265,-2.310174075756912,6,7,-0.3016536705332517
533913285,-0.4914117901454169,6,7,-0.0641666668309887
533913405,1.7559962156821882,6,7,0.22929125101946196
533913425,-2.1677084980935035,6,7,-0.2830510618044153
533913445,-0.6489277188821383,6,7,-0.08473449267992092
533913465,-1.5400513274661591,6,7,-0.20109399573604136
533913485,-4.479022117360721,6,7,-0.5848535295587177
533913605,-0.9285289436596535,6,7,-0.12124374824850657
533913625,-3.6855884214276955,6,7,-0.4812500006235476
533913645,-1.013371186412165,6,7,-0.13232212290916193
533913665,-0.09393732191704984,6,7,-0.01226597521533415
533913685,-2.1843409593316174,6,7,-0.2852228648019168
533913805,-0.5922841816037874,6,7,-0.0773381968287508
533913825,-0.3801620469344158,6,7,-0.049640102041932775
533913845,-3.3130290835810356,6,7,-0.43260263117539854
533913865,-0.23983761891814126,6,7,-0.03131707642200439
533913885,0.49210439004271933,6,7,0.06425710386922955
533914005,-2.3160712506666243,6,7,-0.3024237010153523
533914025,-1.5700236324628136,6,7,-0.20500766436883502
533914045,-1.3295296529020248,6,7,-0.17360488289147316
533914065,-4.061252763767833,6,7,-0.5303028096497392
533914085,-5.520572325629676,6,7,-0.7208551610661017
533914205,-1.610896344297906,6,7,-0.2103446663199386
533914245,-1.3937033765742868,6,7,-0.1819844416012132
533914265,-0.2367565066080175,6,7,-0.03091475659362977
533914285,-4.907645518919754,6,7,-0.6408215294222637
533914405,-3.5567121577864143,6,7,-0.4644218324002218
533914425,0.4239374370638451,6,7,0.055356124591982775
533914445,-0.08974787868422496,6,7,-0.011718933785887646
533914465,-1.326377659467827,6,7,-0.17319330767776941
533914485,9.0135687251101,6,7,1.176957234117663
533914605,-0.5889082015954408,6,7,-0.07689737430725706
533914625,0.44506993536581874,6,7,0.05811552517015757
533914645,1.7213482980910335,6,7,0.22476705882659398
533914665,-0.0029053500636884166,6,7,-3.7936946834124535e-4
533914685,2.9559627228524583,6,7,0.3859782752586545
533914805,0.17399032479535848,6,7,0.022718989301529692
533914825,-1.4811234842428256,6,7,-0.19339942397564167
